Date,Price,Open,High,Low,Vol.,Change %
10-Aug,"10,014.72","10,468.82","10,719.94","9,936.62",4.12B,-4.31%
10-Jul,"10,465.94","9,773.27","10,584.99","9,614.32",4.20B,7.08%
10-Jun,"9,774.02","10,133.94","10,594.16","9,753.84",4.94B,-3.58%
10-May,"10,136.63","11,009.60","11,177.67","9,774.48",5.61B,-7.92%
10-Apr,"11,008.61","10,857.31","11,258.01","10,844.09",4.24B,1.40%
10-Mar,"10,856.63","10,326.10","10,955.48","10,326.10",4.39B,5.15%
10-Feb,"10,325.26","10,068.99","10,438.55","9,835.09",4.28B,2.56%
10-Jan,"10,067.33","10,430.69","10,729.89","10,043.75",4.39B,-3.46%
9-Dec,"10,428.05","10,343.82","10,580.33","10,235.63",4.17B,0.80%
9-Nov,"10,344.84","9,712.13","10,495.61","9,678.95",3.81B,6.51%
9-Oct,"9,712.73","9,711.60","10,119.47","9,430.08",5.15B,0.00%
9-Sep,"9,712.28","9,492.32","9,917.99","9,252.93",4.48B,2.27%
9-Aug,"9,496.28","9,173.65","9,630.20","9,116.52",4.04B,3.54%
9-Jul,"9,171.61","8,447.53","9,246.43","8,087.19",4.90B,8.58%
9-Jun,"8,447.00","8,501.53","8,877.93","8,259.43",5.52B,-0.63%
9-May,"8,500.33","8,167.41","8,591.93","8,099.31",6.73B,4.07%
9-Apr,"8,168.12","7,606.13","8,307.51","7,483.87",7.80B,7.35%
9-Mar,"7,608.92","7,056.48","7,931.33","6,469.95",10.56B,7.73%
9-Feb,"7,062.93","8,000.62","8,315.07","7,033.62",7.13B,-11.72%
9-Jan,"8,000.86","8,772.25","9,088.06","7,909.03",6.26B,-8.84%
8-Dec,"8,776.39","8,826.89","9,026.41","8,118.50",5.70B,-0.60%
8-Nov,"8,829.04","9,326.04","9,653.95","7,449.38",6.26B,-5.32%
8-Oct,"9,325.01","10,847.40","10,882.52","7,882.51",8.31B,-14.06%
8-Sep,"10,850.66","11,545.63","11,790.17","10,365.45",6.30B,-6.00%
8-Aug,"11,543.55","11,379.89","11,867.11","11,221.53",3.58B,1.45%
8-Jul,"11,378.02","11,344.64","11,698.17","10,827.71",5.52B,0.25%
8-Jun,"11,350.01","12,637.67","12,638.08","11,287.56",5.31B,-10.19%
8-May,"12,638.32","12,818.34","13,136.69","12,442.59",4.53B,-1.42%
8-Apr,"12,820.13","12,266.64","13,010.00","12,266.47",5.05B,4.54%
8-Mar,"12,262.89","12,264.36","12,622.07","11,731.60",6.23B,-0.03%
8-Feb,"12,266.39","12,638.17","12,767.74","12,069.47",5.72B,-3.04%
8-Jan,"12,650.36","13,261.82","13,279.54","11,634.82",7.46B,-4.63%
